"mbea1","mbea2","mbea3","mbep1","mbep2","mbep3","cr1","cr2","cr3","ac1","ac2","ac3","is1","is2","is3","ic1","ic2","ic3","acti","ac","mbep","cr","ic","is","mbea","extra","satld","jobsat","goal","retent","quit","acs","alt.w","alt.nw","alt.p","id"
1,2.5,1.5,1,1,1.5,1,1.33,0.67,2,2,2.5,1.67,2.33,0.75,2.33,1,0.67,1.52,3.13,2.14,2,2.33,2.5,2.57,1,2.5,2,2.67,3.5,1.17,1.5,2.25,3.25,3.5,1
2.33,2.5,3,1.33,1,2,2.67,3,3.33,2.67,3,3.5,3.33,3.67,3,2,1.33,2.67,2.85,4,2.43,4,3,4.3,3.57,1.67,3.5,5,4.83,3.75,1.33,4,5,5,4.75,2
2.33,4,2.5,0.33,1,2.5,3.33,3.67,4,1.33,3,3.5,2.67,2.33,2.75,2.67,1.67,2.33,2.77,3.5,2.14,4.67,3.22,3.6,3.86,1.33,3,5,4.33,3.75,1,1.25,4.75,4.75,4.75,3
2.33,3.5,2,2,2.5,1,1.67,1.33,1.33,1.33,1.67,2,2.67,2.67,1.5,2,1,1.33,1.71,2.63,2.86,2.44,2.44,3.2,3.57,1.33,3,5,5,3.75,1,2.5,5,5,5,4
2,2,1.5,2,2,1,2.33,2.33,1.67,1.67,1.67,2,2,2,1.5,1.67,1.33,1.33,1.79,2.75,2.71,3.11,2.44,2.8,2.86,2.33,3,5,4.83,4,1,2.75,5,5,4.75,5
3.33,2.5,3,1.67,1,1,2.67,1,2,2.33,3.33,4,3.33,3.67,2.5,1.67,2,2.67,2.6,4.13,2.29,2.89,3.11,4.1,4,2.33,3.5,4,4.5,4,1,5,4.5,4.25,4,6
2.67,2,1.5,1.67,2.5,1.5,1.67,2,1.33,2.67,2.67,3,2.67,2.33,2.5,2.33,3,2.33,2.38,3.75,2.86,2.67,3.56,3.5,3.14,2.67,2.5,4,4,3.5,1,2.5,4.5,3.25,3.75,7
1,0,1.5,0.33,0.5,0,1.33,2,0.33,1.67,2,2.5,3.33,2.33,1.75,2.33,2,1.33,1.91,3,1.29,2.22,2.89,3.4,1.86,2.33,3,4,4,2.25,1,3,4,3.5,3.5,8
2.67,2.5,2,0.33,0.5,0,2,1.33,1,1.67,2.67,2.5,3.67,2.33,3,2.33,2.67,2.33,2.29,3.25,1.29,2.44,3.44,4,3.43,2.67,4,5,4,3.5,1,3.75,4.5,4.25,4,9
2.33,2,2,0.67,0.5,1,1.67,1.67,2.67,1.67,2,3,3.33,2.67,2.5,3,2,2,2.35,3.13,1.71,3,3.33,3.8,3.14,2.33,4,4,4,3.5,1,3.25,3.75,3.5,4,10
2.33,3,1.5,2.67,3,1.5,0.33,1.33,0.67,0,0.67,2.5,2.33,1.67,1,0.33,0.67,1,1.04,1.88,3.43,1.78,1.67,2.6,3.29,0.67,1.5,3,4,3.5,1,4,4.75,4,4.25,11
1.67,1.5,3,1.33,1,1,2.33,1.67,2,2.67,2.67,2.5,2.67,2.33,2.25,1.67,1.33,2.67,2.23,3.63,2.14,3,2.89,3.4,3,2,3,4,4.5,4.75,1,2.25,4,4,5,12
1.67,3,1,1,2,1,2,1.67,2.33,1.67,1.67,2,1.67,2.67,1.75,0.67,0.33,1.67,1.67,2.75,2.29,3,1.89,3,2.86,1,1.5,5,5,4.5,1,2,4.5,2.5,2.25,13
2,2,2.5,2.67,2.5,3.5,1.67,2.33,1.67,3.33,3.33,3,2,2,1.25,3,2.67,2,2.35,4.25,3.86,2.89,3.56,2.7,3.14,2,2,2,3.67,3.75,1,3.25,4.5,3.25,4.25,14
0.67,2,2.5,0.33,0,0,2.33,1.67,1.33,3,3.33,4,3,3,3.5,3.33,2.67,3,2.85,4.38,1.14,2.78,4,4.2,2.57,3.33,3,4,3.83,3.5,1,2,3.75,3.5,4.5,15
2.33,1,1,1.67,1.5,1,2.33,1.67,2.67,2,2.33,2.5,2.33,2.33,2.75,3.33,2,2.33,2.38,3.25,2.43,3.22,3.56,3.5,2.57,2,2.5,4,3,3.5,1,5,3.25,3,5,16
2,2.5,2,0.33,0.5,1,2.33,2,2,1.33,2.67,3,3.33,2.67,2.5,3.33,2.67,2.33,2.51,3.25,1.57,3.11,3.78,3.8,3.14,2,3,4,4.17,4.25,1,2.5,4,3,3.5,17
2.67,3,1.5,1.67,1.5,0.5,3,2.33,3,3.33,3.33,3,4,2.67,3,4,3.67,3,3.19,4.25,2.29,3.78,4.56,4.2,3.43,2.33,2.5,5,5,4.25,1,3.75,5,4.25,5,18
3,3.5,2.5,1.33,2.5,1,1,2,2,2.67,1.67,2,3,2.67,2.25,3,3.33,3,2.38,3.13,2.57,2.67,4.11,3.6,4,3.33,2.5,4,4.5,3.25,1,5,4.75,3.25,5,19
3.67,3.5,2.5,0.67,2.5,1,1.33,1.67,1.33,2.33,2.33,2,3,2.33,2,2,2,2.33,2.06,3.25,2.29,2.44,3.11,3.4,4.29,2,2.5,4,3.67,2.75,1.17,2.25,4,4,4.25,20
2.67,2.5,2.5,2,3.5,2,0.33,0.33,0.33,0.67,1,1,2,2,2,1.33,0.33,1,1.03,1.88,3.43,1.33,1.89,3,3.57,0.33,1.5,5,4.33,4,1.5,1.5,4.75,3.75,4.25,21
2.33,3,2.5,0,1.5,0,2.33,1.67,1.67,1.67,1.67,2,2.33,2,1.5,3,1.67,1.33,1.9,2.75,1.43,2.89,3,2.9,3.57,1,3,5,4.83,3,2,1,5,5,4.75,22
2.33,3,2,2,3,2,1.33,1,1,0.67,2.67,1,1.33,2,1.25,1.33,1.67,0.67,1.33,2.5,3.29,2.11,2.22,2.5,3.43,1,1,4,3.33,2.5,3,3,4,3.75,3.75,23
3.67,4,2,0,1,0,2.33,2,1.67,2.67,3.67,3.5,3.67,2.67,2.5,3.33,2.67,3,2.81,4.25,1.29,3,4,3.9,4.29,3.33,3.5,5,4.33,3.25,1,4.25,4.75,4.5,4,24
2,3,1.5,1.67,0.5,1.5,3,2.67,2,2,2,4,2.33,2.33,3.25,3,2.67,3.33,2.72,3.5,2.29,3.56,4,3.7,3.14,3.33,3,5,3.67,3,1,3.25,4.75,4.5,3.75,25
3.67,4,4,1.33,1,3.5,2,3,1.33,2,4,4,3,3.33,3.75,2.67,1.33,3,2.78,4.25,2.86,3.11,3.33,4.4,4.86,2.33,4,5,5,3.75,1,4.5,5,4.5,3.75,26
2.67,3,3,1.67,2.5,1.5,2.67,2.33,2.33,0.67,2.33,2.5,2.67,3,2.75,2.33,2.33,3,2.41,2.75,2.86,3.44,3.56,3.8,3.86,2.33,3,4,4.5,4,1,3.25,4.75,4.75,4.75,27
3.67,3.5,3,1.67,2,2,2.33,1.67,2,1.67,2.67,2,2.33,2.67,2,1.67,1.67,1.67,2.03,3.13,2.86,3,2.67,3.3,4.43,2,3,4,4.67,4.25,1.17,5,5,5,5,28
2.67,2,2.5,0.33,1,0,2.67,2.33,2.33,1.33,2,4,2.33,2.33,3,3.33,2,2.33,2.5,3.25,1.43,3.44,3.56,3.6,3.43,2.33,3.5,4,3.5,3,1,2,3.25,3,3.5,29
2,2.5,3,1.33,1,1.5,0.67,1.33,1,2.33,3.33,4,2.33,2.33,3,2.67,2.67,3,2.39,4.13,2.29,2,3.78,3.6,3.43,2.67,3.5,4,4.83,4.5,1,3.5,5,4.25,4.75,30
3,2,2.5,0.33,0.5,0.5,0,1.67,1.33,1.67,3,3,2.33,2.33,2.75,1.67,2,2,1.98,3.5,1.43,2,2.89,3.5,3.57,2.33,3.5,5,4.33,3.75,1,4,5,3.75,4.5,31
