"","Factor1","Factor2","Factor3","Factor4","Factor5","Factor6"
"mbea1",0.082659623572452,0.063601817547226,-0.0498203607529024,0.718267213110948,0.00792409364636408,-0.145456993207215
"mbea2",-0.0348399248929864,-0.0475632304536853,-0.118968173484884,0.814572801949665,-0.00655743330555482,0.0153807165429056
"mbea3",-0.00438383374260398,0.0641763924008772,0.14807916077457,0.584076874274207,0.00686234636182484,0.086567024338623
"mbep1",0.0101082547981276,0.0461089441803726,0.905226357139474,-0.202329654397866,0.127612195420715,-0.0118019316398787
"mbep2",-0.178568187527329,-0.185290013964372,0.663733310728612,0.250177002866085,0.0555478456973636,0.0733978375724486
"mbep3",0.0772136054417403,0.0995623366282254,0.763422463518673,-0.0307953161382439,-0.218228799835504,0.00663317973071914
"cr1",-0.0295585535107539,0.83080840887797,0.0438103891257225,0.0307559502828278,0.0684244098160096,-0.134866822537249
"cr2",0.0429446812986075,0.833066289274479,0.016402643079338,-0.030084513779176,-0.0446213579978957,0.106051077264771
"cr3",-0.04842871509691,0.802533405614979,-0.0100677473674397,0.0494149657423557,0.00564130631607369,0.0592856347660063
"ac1",0.882613447566653,0.044194686922979,0.0157691410089202,-0.00850303784480272,-0.0514507672303385,-0.0694420072701916
"ac2",0.896519697886369,-0.0175643363126997,0.0302954968115013,-0.00482626439068247,0.0732753538518845,-0.052959276263519
"ac3",0.746212098175341,-0.098058930571184,-0.0955531077649382,0.0601929461153016,0.0294760784302005,0.0999746032765088
"is1",0.118388717985561,0.0801628891521969,-0.147068446413586,0.0447085848395457,0.584459148778312,-0.00537838681644835
"is2",0.0259759884207242,-0.000330986084859101,-0.00775615511500314,0.00557340123361748,0.897679720374404,-0.00503311457906075
"is3",0.167724342680497,0.0960187080642072,-0.0149667017588761,-0.0655159245528114,0.298388345310702,0.478650722114683
"ic1",0.361291157173414,0.189245076065527,-0.146941951728251,0.0563076897967326,-0.0823950974199904,0.228679128143118
"ic2",0.225928138713304,0.177600285797792,-0.0705126111988165,0.0177425908738761,0.0203372432076141,0.467518940185208
"ic3",0.172049040419867,0.166318745374686,0.0151944802963641,-0.035628634918695,0.00729067056821131,0.672625529033034
