ACTI	AC	MBEP	CR	IC	IS	MBEA	EXTRA	SATLD	JOBSAT	GOAL	RETENT	QUIT	ACS	ALT.W	ALT.NW	ALT.P
1.52	3.13	2.14	2	2.33	2.5	2.57	1	2.5	2	2.67	3.5	1.17	1.5	2.25	3.25	3.5
2.85	4	2.43	4	3	4.3	3.57	1.67	3.5	5	4.83	3.75	1.33	4	5	5	4.75
2.77	3.5	2.14	4.67	3.22	3.6	3.86	1.33	3	5	4.33	3.75	1	1.25	4.75	4.75	4.75
1.71	2.63	2.86	2.44	2.44	3.2	3.57	1.33	3	5	5	3.75	1	2.5	5	5	5
1.79	2.75	2.71	3.11	2.44	2.8	2.86	2.33	3	5	4.83	4	1	2.75	5	5	4.75
2.6	4.13	2.29	2.89	3.11	4.1	4	2.33	3.5	4	4.5	4	1	5	4.5	4.25	4
2.38	3.75	2.86	2.67	3.56	3.5	3.14	2.67	2.5	4	4	3.5	1	2.5	4.5	3.25	3.75
1.91	3	1.29	2.22	2.89	3.4	1.86	2.33	3	4	4	2.25	1	3	4	3.5	3.5
2.29	3.25	1.29	2.44	3.44	4	3.43	2.67	4	5	4	3.5	1	3.75	4.5	4.25	4
2.35	3.13	1.71	3	3.33	3.8	3.14	2.33	4	4	4	3.5	1	3.25	3.75	3.5	4
1.04	1.88	3.43	1.78	1.67	2.6	3.29	0.67	1.5	3	4	3.5	1	4	4.75	4	4.25
2.23	3.63	2.14	3	2.89	3.4	3	2	3	4	4.5	4.75	1	2.25	4	4	5
1.67	2.75	2.29	3	1.89	3	2.86	1	1.5	5	5	4.5	1	2	4.5	2.5	2.25
2.35	4.25	3.86	2.89	3.56	2.7	3.14	2	2	2	3.67	3.75	1	3.25	4.5	3.25	4.25
2.85	4.38	1.14	2.78	4	4.2	2.57	3.33	3	4	3.83	3.5	1	2	3.75	3.5	4.5
2.38	3.25	2.43	3.22	3.56	3.5	2.57	2	2.5	4	3	3.5	1	5	3.25	3	5
2.51	3.25	1.57	3.11	3.78	3.8	3.14	2	3	4	4.17	4.25	1	2.5	4	3	3.5
3.19	4.25	2.29	3.78	4.56	4.2	3.43	2.33	2.5	5	5	4.25	1	3.75	5	4.25	5
2.38	3.13	2.57	2.67	4.11	3.6	4	3.33	2.5	4	4.5	3.25	1	5	4.75	3.25	5
2.06	3.25	2.29	2.44	3.11	3.4	4.29	2	2.5	4	3.67	2.75	1.17	2.25	4	4	4.25
1.03	1.88	3.43	1.33	1.89	3	3.57	0.33	1.5	5	4.33	4	1.5	1.5	4.75	3.75	4.25
1.9	2.75	1.43	2.89	3	2.9	3.57	1	3	5	4.83	3	2	1	5	5	4.75
1.33	2.5	3.29	2.11	2.22	2.5	3.43	1	1	4	3.33	2.5	3	3	4	3.75	3.75
2.81	4.25	1.29	3	4	3.9	4.29	3.33	3.5	5	4.33	3.25	1	4.25	4.75	4.5	4
2.72	3.5	2.29	3.56	4	3.7	3.14	3.33	3	5	3.67	3	1	3.25	4.75	4.5	3.75
2.78	4.25	2.86	3.11	3.33	4.4	4.86	2.33	4	5	5	3.75	1	4.5	5	4.5	3.75
2.41	2.75	2.86	3.44	3.56	3.8	3.86	2.33	3	4	4.5	4	1	3.25	4.75	4.75	4.75
2.03	3.13	2.86	3	2.67	3.3	4.43	2	3	4	4.67	4.25	1.17	5	5	5	5
2.5	3.25	1.43	3.44	3.56	3.6	3.43	2.33	3.5	4	3.5	3	1	2	3.25	3	3.5
2.39	4.13	2.29	2	3.78	3.6	3.43	2.67	3.5	4	4.83	4.5	1	3.5	5	4.25	4.75
1.98	3.5	1.43	2	2.89	3.5	3.57	2.33	3.5	5	4.33	3.75	1	4	5	3.75	4.5
1.92	3.63	2	2.44	2.89	2.7	2.43	1.33	4	4	4.33	3.75	1	4.25	4	3.75	3.5
3.34	4.88	2.57	2.78	4.89	4.8	3.43	3.67	3.5	4	4.67	4.5	1	5	4.75	4.75	3.75
2.15	3.63	1.57	1.89	3.44	3.6	3	0.33	3	4	4	2.75	1	4.25	4.5	4	5
1.56	2.5	3	2.44	2.89	2.4	3	1	1.5	3	3.33	3.25	1.67	1.75	4	2	5
2.28	4.5	1.71	2.56	2.33	3.7	2.71	1	4	5	#NUL!	#NUL!	1	4	5	3.25	#NUL!
2.61	3.63	1.86	3.44	3.78	3.5	3.43	2.33	4	5	5	2.75	1	3.5	5	5	4.5
2.58	4.75	1.29	2.56	3.78	3.3	3.29	1.67	4	4	4.33	4	1	2.5	4.5	4	4.75
2.33	3.13	2.86	3.11	3.33	3.8	3.71	2	2.5	4	4	3.5	2.67	4	4	3.75	4
1.88	3.88	2	2.78	2.78	2.1	3	2.33	2	5	4	2.75	1	3.75	4.25	2.75	4.75
2.41	3.38	2.14	3	3.67	3.5	2.86	2.33	3	4	3.67	4	1	1.75	3.75	3.75	4
2.1	3.25	3.14	2.56	3	3.5	4.14	1.67	3	4	4.17	4.75	1.17	2	4.5	4	4.5
1.22	2.38	3.14	1.67	1.89	2.8	3.14	0.67	1	4	3	3.25	3	2.25	4.75	4.5	4.5
2.25	3.63	2.29	2.33	3.44	3.5	4.29	2.33	3	4	4.17	3.25	1.17	2.5	4.25	4	4
2.03	3.38	2.71	2.22	3.22	3.1	4.29	1.67	2	4	4.83	3.5	1	4	5	5	5
2.47	3.38	2.29	2.89	3.67	3.9	3.86	2.33	3	4	4.5	3.5	1	3.25	4.75	4.75	4.5
2.19	3.75	1.86	2.44	3	3.5	2.71	1.67	4	4	4.83	4.5	1	3.75	5	4.25	4.75
2.57	4	2.43	3	3.22	4	3.57	2.33	3	4	4.17	4.25	1.17	3	4	4.25	3.75
2.04	3.13	2.43	3.11	3	3	3	1.67	3	4	3.83	2.75	1	4	3.75	3	3.5
